0,1,2
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.1
input 2,  des_en_input(1)           , 100
input 3,  kt_fac                    , 0.1
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.001
V_avg =,m/s,0.986235605369101
V_max=,m/s,1.5825835421976064
"m_dot_avg =,","kg/s,",0.038154834
"m_dot_max =,","kg/s,",0.3091059762522523
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.1
input 2,  des_en_input(1)           , 1000
input 3,  kt_fac                    , 0.1
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.001
V_avg =,m/s,0.9743560199771968
V_max=,m/s,1.5493535931726432
"m_dot_avg =,","kg/s,",0.038392803
"m_dot_max =,","kg/s,",0.28672990516101693
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.1
input 2,  des_en_input(1)           , 10000
input 3,  kt_fac                    , 0.1
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.001
V_avg =,m/s,0.9791033451120539
V_max=,m/s,1.5082738346806102
"m_dot_avg =,","kg/s,",0.03599136
"m_dot_max =,","kg/s,",0.27099879996774195
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.1
input 2,  des_en_input(1)           , 100
input 3,  kt_fac                    , 0.5
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.001
V_avg =,m/s,0.9994962599431437
V_max=,m/s,1.6377860071461876
"m_dot_avg =,","kg/s,",0.035284986
"m_dot_max =,","kg/s,",0.30529694363716814
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.1
input 2,  des_en_input(1)           , 1000
input 3,  kt_fac                    , 0.5
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.001
V_avg =,m/s,0.9807260158471918
V_max=,m/s,1.422222530565717
"m_dot_avg =,","kg/s,",0.033823696
"m_dot_max =,","kg/s,",0.2904102289322033
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.1
input 2,  des_en_input(1)           , 10000
input 3,  kt_fac                    , 0.5
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.001
V_avg =,m/s,0.9710567223694232
V_max=,m/s,1.6262260353788558
"m_dot_avg =,","kg/s,",0.034729566
"m_dot_max =,","kg/s,",0.2745351481496062
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.1
input 2,  des_en_input(1)           , 100
input 3,  kt_fac                    , 0.9
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.001
V_avg =,m/s,0.9961108643923677
V_max=,m/s,1.5524562769589136
"m_dot_avg =,","kg/s,",0.035475545
"m_dot_max =,","kg/s,",0.29215092093859646
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.1
input 2,  des_en_input(1)           , 1000
input 3,  kt_fac                    , 0.9
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.001
V_avg =,m/s,0.9757572204487214
V_max=,m/s,1.545600540514501
"m_dot_avg =,","kg/s,",0.038095052
"m_dot_max =,","kg/s,",0.28402833425619833
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.1
input 2,  des_en_input(1)           , 10000
input 3,  kt_fac                    , 0.9
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.001
V_avg =,m/s,0.9868355489937508
V_max=,m/s,1.514137918311798
"m_dot_avg =,","kg/s,",0.010912891
"m_dot_max =,","kg/s,",0.25079672302941175
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.5
input 2,  des_en_input(1)           , 100
input 3,  kt_fac                    , 0.1
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.001
V_avg =,m/s,0.9951555839731142
V_max=,m/s,1.5758689505352472
"m_dot_avg =,","kg/s,",0.034967031
"m_dot_max =,","kg/s,",0.3068192186306307
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.5
input 2,  des_en_input(1)           , 1000
input 3,  kt_fac                    , 0.1
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.001
V_avg =,m/s,0.9829685790518677
V_max=,m/s,1.4733216427789246
"m_dot_avg =,","kg/s,",0.03421494
"m_dot_max =,","kg/s,",0.278637341232
