0,1,2
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.1
input 2,  des_en_input(1)           , 100
input 3,  kt_fac                    , 0.1
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.001
V_avg =,m/s,0.5844588219915763
V_max=,m/s,1.3117117262051696
"m_dot_avg =,","kg/s,",0.021169871
"m_dot_max =,","kg/s,",0.3528366119816514
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.1
input 2,  des_en_input(1)           , 1000
input 3,  kt_fac                    , 0.1
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.001
V_avg =,m/s,0.6731488149301661
V_max=,m/s,1.4086532155825822
"m_dot_avg =,","kg/s,",0.019117145
"m_dot_max =,","kg/s,",0.27259177983687943
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.1
input 2,  des_en_input(1)           , 10000
input 3,  kt_fac                    , 0.1
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.001
V_avg =,m/s,0.9813736816626965
V_max=,m/s,2.997125078604791
"m_dot_avg =,","kg/s,",0.017855492
"m_dot_max =,","kg/s,",0.221716982299435
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.1
input 2,  des_en_input(1)           , 100
input 3,  kt_fac                    , 0.5
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.001
V_avg =,m/s,0.5952862286516495
V_max=,m/s,1.6787543808223833
"m_dot_avg =,","kg/s,",0.042574852
"m_dot_max =,","kg/s,",0.35021136961467886
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.1
input 2,  des_en_input(1)           , 1000
input 3,  kt_fac                    , 0.5
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.001
V_avg =,m/s,0.7048575455906667
V_max=,m/s,2.5002588391424894
"m_dot_avg =,","kg/s,",0.020072337
"m_dot_max =,","kg/s,",0.2905670471287879
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.1
input 2,  des_en_input(1)           , 10000
input 3,  kt_fac                    , 0.5
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.001
V_avg =,m/s,1.1171776757984728
V_max=,m/s,3.8243381798866727
"m_dot_avg =,","kg/s,",0.015139942
"m_dot_max =,","kg/s,",0.22137613139548026
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.1
input 2,  des_en_input(1)           , 100
input 3,  kt_fac                    , 0.9
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.001
V_avg =,m/s,0.5752478645820649
V_max=,m/s,1.4600988606731433
"m_dot_avg =,","kg/s,",0.02040601
"m_dot_max =,","kg/s,",0.3442372576106195
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.1
input 2,  des_en_input(1)           , 1000
input 3,  kt_fac                    , 0.9
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.001
V_avg =,m/s,0.6746102512438299
V_max=,m/s,2.719300090524676
"m_dot_avg =,","kg/s,",0.020678627
"m_dot_max =,","kg/s,",0.29161428542647055
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.1
input 2,  des_en_input(1)           , 10000
input 3,  kt_fac                    , 0.9
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.001
V_avg =,m/s,1.0068603997422843
V_max=,m/s,3.231833156720758
"m_dot_avg =,","kg/s,",0.019806117
"m_dot_max =,","kg/s,",0.22184274093142858
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.5
input 2,  des_en_input(1)           , 100
input 3,  kt_fac                    , 0.1
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.001
V_avg =,m/s,0.5957604821071649
V_max=,m/s,1.728799472551776
"m_dot_avg =,","kg/s,",0.020702412
"m_dot_max =,","kg/s,",0.3486110780555556
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.5
input 2,  des_en_input(1)           , 1000
input 3,  kt_fac                    , 0.1
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.001
V_avg =,m/s,0.775730858312828
V_max=,m/s,2.102666233956017
"m_dot_avg =,","kg/s,",0.019659256
"m_dot_max =,","kg/s,",0.2805457928992806
